"","term","estimate"
"1","log10Dref",2.45261838974878
"2","zT",28.878020875331
"3","zRH",235.940154465321
"4","log10Dref",2.35739705996569
"5","zT",29.1041568903123
"6","zRH",176.301899064229
"7","log10Dref",2.49924025374841
"8","zT",28.5704728653381
"9","zRH",197.560453006457
"10","log10Dref",2.31042494024313
"11","zT",29.0860150512165
"12","zRH",280.788860796684
"13","log10Dref",2.40149591714884
"14","zT",28.6470412960289
"15","zRH",250.943031353923
"16","log10Dref",2.40524607709006
"17","zT",28.4742892028316
"18","zRH",195.446164408153
"19","log10Dref",2.37858462162222
"20","zT",28.4238980593688
"21","zRH",255.535216264624
"22","log10Dref",2.52348023402382
"23","zT",28.3182888412135
"24","zRH",187.094302322135
"25","log10Dref",2.28452710122164
"26","zT",29.3985644893918
"27","zRH",315.570321624577
"28","log10Dref",2.38244167300102
"29","zT",28.581789648533
"30","zRH",230.076455084769
"31","log10Dref",2.36953984611593
"32","zT",29.3782631980712
"33","zRH",202.78091421104
"34","log10Dref",2.39105390701893
"35","zT",28.3848912373561
"36","zRH",306.678966374193
"37","log10Dref",2.29575154729622
"38","zT",29.5493657853114
"39","zRH",222.320642752742
"40","log10Dref",2.40209949330147
"41","zT",27.8815366672123
"42","zRH",280.63658002425
"43","log10Dref",2.38954689355769
"44","zT",28.3049258051928
"45","zRH",271.332020050972
"46","log10Dref",2.42075526950714
"47","zT",28.9117640617768
"48","zRH",275.213857061276
"49","log10Dref",2.21023342448634
"50","zT",30.3033787992461
"51","zRH",397.538820136799
"52","log10Dref",2.49660612046713
"53","zT",28.2981845907982
"54","zRH",120.401569648287
"55","log10Dref",2.41874064590381
"56","zT",28.9504757162652
"57","zRH",179.725270817918
"58","log10Dref",2.38849842393725
"59","zT",28.2368167971168
"60","zRH",266.19985982808
"61","log10Dref",2.22668103113773
"62","zT",29.4964138223355
"63","zRH",421.500920380145
"64","log10Dref",2.33526012716306
"65","zT",29.2409153996278
"66","zRH",213.67892524485
"67","log10Dref",2.56899773999583
"68","zT",27.9555081117223
"69","zRH",160.130573530333
"70","log10Dref",2.37781525906277
"71","zT",29.4648222567646
"72","zRH",242.862432411573
"73","log10Dref",2.37338117410296
"74","zT",28.8187212125351
"75","zRH",349.396882864425
"76","log10Dref",2.40391412861364
"77","zT",28.6992604568815
"78","zRH",223.112646447051
"79","log10Dref",2.49430937019757
"80","zT",28.0899539761594
"81","zRH",158.239121320399
"82","log10Dref",2.33765362716637
"83","zT",28.7786107615568
"84","zRH",290.219733088738
"85","log10Dref",2.542456413933
"86","zT",28.2077892490652
"87","zRH",157.410347264355
"88","log10Dref",2.45838353425188
"89","zT",28.7512852056255
"90","zRH",236.993836572728
"91","log10Dref",2.52852719230605
"92","zT",28.2194249419452
"93","zRH",206.980574805304
"94","log10Dref",2.42170627207335
"95","zT",28.337075759453
"96","zRH",334.748261945463
"97","log10Dref",2.33231262353636
"98","zT",29.6620954506468
"99","zRH",226.659166879004
"100","log10Dref",2.34613606239859
"101","zT",28.7024023099705
"102","zRH",418.605259424714
"103","log10Dref",2.35078245141563
"104","zT",29.1311360839503
"105","zRH",287.526838237868
"106","log10Dref",2.33138106223945
"107","zT",28.7267914198032
"108","zRH",268.109600969684
"109","log10Dref",2.39820348422827
"110","zT",28.9857544970348
"111","zRH",273.050766217327
"112","log10Dref",2.35447194588438
"113","zT",29.2086597552661
"114","zRH",352.032133888959
"115","log10Dref",2.21676896327046
"116","zT",29.5434523164013
"117","zRH",449.816556236607
"118","log10Dref",2.35806879651011
"119","zT",29.1694584662923
"120","zRH",375.624123517633
"121","log10Dref",2.50777065926919
"122","zT",27.8301807802385
"123","zRH",229.27569035306
"124","log10Dref",2.49180374695468
"125","zT",28.3448546030389
"126","zRH",217.326021758987
"127","log10Dref",2.44364028620978
"128","zT",27.9096385078118
"129","zRH",231.624139303143
"130","log10Dref",2.26477295334418
"131","zT",30.9925210347521
"132","zRH",240.399005002938
"133","log10Dref",2.36362400264308
"134","zT",28.8382250444669
"135","zRH",232.718620750015
"136","log10Dref",2.30953774551438
"137","zT",29.5913514474362
"138","zRH",336.191146772937
"139","log10Dref",2.27553824199532
"140","zT",29.1999118847007
"141","zRH",260.606747371771
"142","log10Dref",2.40207146603088
"143","zT",28.6620963393507
"144","zRH",235.582343548811
"145","log10Dref",2.37019910261213
"146","zT",28.5404267068926
"147","zRH",228.357537252857
"148","log10Dref",2.33069538916641
"149","zT",29.3658579367186
"150","zRH",491.951852888705
"151","log10Dref",2.28062430788143
"152","zT",29.4701999799992
"153","zRH",259.130600203907
"154","log10Dref",2.33296455424669
"155","zT",28.8331098562648
"156","zRH",281.14809776344
"157","log10Dref",2.36162520689812
"158","zT",28.9578680490316
"159","zRH",217.214138915204
"160","log10Dref",2.42304097968522
"161","zT",28.569830589011
"162","zRH",175.286297075641
"163","log10Dref",2.24890396569932
"164","zT",29.7207434069837
"165","zRH",511.333092414941
"166","log10Dref",2.25706534406207
"167","zT",29.2256500669063
"168","zRH",576.8048617808
"169","log10Dref",2.43827524459819
"170","zT",28.587831913878
"171","zRH",206.376706592216
"172","log10Dref",2.30299567648871
"173","zT",29.2919652219997
"174","zRH",391.352891127247
"175","log10Dref",2.33545767521233
"176","zT",29.0072995054617
"177","zRH",282.515806555615
"178","log10Dref",2.32607444098559
"179","zT",29.2224899426685
"180","zRH",216.998731890361
"181","log10Dref",2.40392338065208
"182","zT",28.4136390941569
"183","zRH",189.614845955296
"184","log10Dref",2.35721407348134
"185","zT",28.9293491724284
"186","zRH",288.916344367892
"187","log10Dref",2.36711435761088
"188","zT",28.6899164743368
"189","zRH",355.488614300288
"190","log10Dref",2.47768606325309
"191","zT",28.2331290475844
"192","zRH",213.714552961234
"193","log10Dref",2.35890123966133
"194","zT",28.6161321961497
"195","zRH",261.562201554067
"196","log10Dref",2.3834426573123
"197","zT",28.5953367550824
"198","zRH",253.37652959776
"199","log10Dref",2.43486622779284
"200","zT",28.7505387476764
"201","zRH",210.48364979968
"202","log10Dref",2.3251502745113
"203","zT",29.6414787522888
"204","zRH",397.0362560652
"205","log10Dref",2.34104932109708
"206","zT",27.8579902275265
"207","zRH",425.356775934797
"208","log10Dref",2.36531884115792
"209","zT",28.8077117590473
"210","zRH",250.692184430899
"211","log10Dref",2.44132104948354
"212","zT",28.3395896774932
"213","zRH",185.572582751858
"214","log10Dref",2.28819630581639
"215","zT",29.4020903984563
"216","zRH",323.644799245499
"217","log10Dref",2.4564918980838
"218","zT",28.6223995509426
"219","zRH",246.647055585873
"220","log10Dref",2.37295377890802
"221","zT",28.3370883185292
"222","zRH",211.736922419531
"223","log10Dref",2.45316508675278
"224","zT",28.609275585584
"225","zRH",193.340227846713
"226","log10Dref",2.2458508988757
"227","zT",29.0602920206834
"228","zRH",372.198771163037
"229","log10Dref",2.47701089426863
"230","zT",28.5288487801941
"231","zRH",191.835256834341
"232","log10Dref",2.343983715817
"233","zT",29.1031650871323
"234","zRH",299.996885357567
"235","log10Dref",2.34341691620588
"236","zT",28.8261321492772
"237","zRH",283.351950569442
"238","log10Dref",2.39997791182067
"239","zT",28.9014580889815
"240","zRH",192.321708266007
"241","log10Dref",2.34536710741019
"242","zT",29.4951951091845
"243","zRH",411.436314826892
"244","log10Dref",2.41597902238666
"245","zT",28.2652554962525
"246","zRH",448.557444174025
"247","log10Dref",2.39190109588997
"248","zT",29.3861327422862
"249","zRH",240.593387267579
"250","log10Dref",2.39109887094546
"251","zT",28.9762141827588
"252","zRH",189.076096126793
"253","log10Dref",2.35455908151519
"254","zT",29.80630198432
"255","zRH",214.718467816976
"256","log10Dref",2.43867978294486
"257","zT",28.38642968765
"258","zRH",228.429225614661
"259","log10Dref",2.43579848138131
"260","zT",28.1762303428771
"261","zRH",168.783940337271
"262","log10Dref",2.35830655197993
"263","zT",28.9809733036492
"264","zRH",264.64257640193
"265","log10Dref",2.35904401490244
"266","zT",28.4165941491557
"267","zRH",330.920280182156
"268","log10Dref",2.1943249178671
"269","zT",29.6988727260884
"270","zRH",298.054096512031
"271","log10Dref",2.49162189219838
"272","zT",29.0169688281348
"273","zRH",126.514995761571
"274","log10Dref",2.38190756587688
"275","zT",27.9044502139887
"276","zRH",207.936370411644
"277","log10Dref",2.44458725207434
"278","zT",28.0553415827421
"279","zRH",219.093784107729
"280","log10Dref",2.25673255616238
"281","zT",28.9773969219695
"282","zRH",284.080796859011
"283","log10Dref",2.19227260268516
"284","zT",29.3935700868134
"285","zRH",897.557996196504
"286","log10Dref",2.36493095643415
"287","zT",28.3112690325661
"288","zRH",365.929834633439
"289","log10Dref",2.43191528130026
"290","zT",28.3656543115033
"291","zRH",256.443153601565
"292","log10Dref",2.34225763989309
"293","zT",29.2781016831225
"294","zRH",356.641519215665
"295","log10Dref",2.55291560567972
"296","zT",28.5391198242213
"297","zRH",189.482222946768
"298","log10Dref",2.45796799434195
"299","zT",28.8933882613564
"300","zRH",187.371537618292
"301","log10Dref",2.32837989622505
"302","zT",28.8843725921386
"303","zRH",471.412307821558
"304","log10Dref",2.38180470689178
"305","zT",28.6639317954771
"306","zRH",251.065221596875
"307","log10Dref",2.31499474976776
"308","zT",29.9609326685076
"309","zRH",261.02952205468
"310","log10Dref",2.3146476813511
"311","zT",29.298598802308
"312","zRH",427.34428377464
"313","log10Dref",2.33224966557522
"314","zT",28.7436972591466
"315","zRH",500.383749923811
"316","log10Dref",2.11717762178484
"317","zT",29.8107215506814
"318","zRH",1214.85289875876
"319","log10Dref",2.41779752150595
"320","zT",28.9406223703946
"321","zRH",241.131998674207
"322","log10Dref",2.32944653883692
"323","zT",28.7565682276261
"324","zRH",580.370126113396
"325","log10Dref",2.41698736472967
"326","zT",29.0521539811632
"327","zRH",192.466926983465
"328","log10Dref",2.34005710999988
"329","zT",29.2924865533493
"330","zRH",278.97277062727
"331","log10Dref",2.32886964456339
"332","zT",28.8334974449033
"333","zRH",264.598416952341
"334","log10Dref",2.43693034144281
"335","zT",28.4914536056637
"336","zRH",195.664481071752
"337","log10Dref",2.44893552500844
"338","zT",28.1758332980127
"339","zRH",233.939341813159
"340","log10Dref",2.42704051716234
"341","zT",29.1058583754543
"342","zRH",196.620068075405
"343","log10Dref",2.33291810546658
"344","zT",29.1734567068291
"345","zRH",198.863716038523
"346","log10Dref",2.29255516860764
"347","zT",28.6400390460999
"348","zRH",637.052073596507
"349","log10Dref",2.39099646814275
"350","zT",28.2492225112037
"351","zRH",261.112720727955
